epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.83079,0.55763,2.83349,1.14572,0.00338,1,0.3889,0.30413,0.21781,2.81591,0.89884,5.001e-05,5.001e-05,5.001e-05
2,5.19111,0.53797,2.74738,1.15591,0.00334,1,0.68574,0.65962,0.21035,2.80329,0.87542,0.000115535,0.000115535,0.000115535
3,7.65156,0.40486,2.3165,1.03931,0.00343,1,0.61987,0.52277,0.3426,2.67105,0.93731,0.000179739,0.000179739,0.000179739
4,10.0917,0.45355,1.83727,1.09756,0.00344,1,0.71248,0.65479,0.30349,2.49441,0.91487,0.000242624,0.000242624,0.000242624
5,12.3849,0.45713,1.46297,1.07153,0.00347,1,0.69707,0.60812,0.40662,2.52557,0.98118,0.000304187,0.000304187,0.000304187
6,14.6443,0.45341,1.34646,1.07894,0.00337,1,0.76283,0.67021,0.45618,2.51334,1.06724,0.000364431,0.000364431,0.000364431
7,17.1221,0.50334,1.24593,1.09498,0.8751,0.3,0.77827,0.65526,0.52113,2.20921,1.13171,0.000423355,0.000423355,0.000423355
8,19.3977,0.46456,1.0824,1.0765,0.90625,0.45,0.79326,0.71485,0.44859,2.31139,1.09494,0.000480958,0.000480958,0.000480958
9,21.7283,0.5117,1.16626,1.09697,0.60136,0.55,0.72392,0.63523,0.45877,2.03278,1.08501,0.000537241,0.000537241,0.000537241
10,23.9776,0.49705,0.99282,1.08583,0.56885,0.80549,0.80278,0.67294,0.44997,1.74582,1.08838,0.000592203,0.000592203,0.000592203
11,26.1809,0.48364,0.95594,1.07218,0.62462,0.83762,0.79423,0.66797,0.5951,1.79679,1.2456,0.000645846,0.000645846,0.000645846
12,28.4644,0.42058,0.9323,1.00329,0.53663,0.76264,0.80628,0.69966,0.60517,1.46035,1.29723,0.000698168,0.000698168,0.000698168
13,30.7856,0.46051,0.93141,1.05202,0.73773,0.73505,0.87419,0.75014,0.68273,1.79519,1.37786,0.00074917,0.00074917,0.00074917
14,33.0218,0.45339,0.88658,1.06273,0.7184,0.56545,0.85407,0.68879,0.66935,1.96268,1.34731,0.000798851,0.000798851,0.000798851
15,35.2951,0.48939,0.98774,1.06617,0.74694,0.78505,0.91979,0.79798,0.57078,1.61352,1.20448,0.000847213,0.000847213,0.000847213
16,37.7925,0.4409,0.92468,1.0332,0.71706,0.9,0.89846,0.80025,0.57696,1.35426,1.16408,0.000894254,0.000894254,0.000894254
17,40.3939,0.47618,1.00616,1.06231,0.94618,0.89897,0.94723,0.79218,0.556,1.15822,1.17907,0.000939975,0.000939975,0.000939975
18,42.796,0.4317,0.86008,1.0038,0.97692,0.87808,0.97132,0.7905,0.59764,1.02604,1.24935,0.000984375,0.000984375,0.000984375
19,45.0472,0.45803,0.89286,1.03667,0.80225,0.84003,0.88272,0.7797,0.5308,1.14747,1.16175,0.00102746,0.00102746,0.00102746
20,47.358,0.47034,0.93545,1.05474,0.8019,0.84591,0.8822,0.779,0.50008,1.12225,1.07086,0.00106922,0.00106922,0.00106922
21,49.646,0.37979,0.80513,0.97972,0.87126,0.9,0.91337,0.84697,0.47478,1.15866,1.03791,0.00110966,0.00110966,0.00110966
22,51.9877,0.45092,0.84784,1.03264,0.77351,0.85,0.87165,0.77684,0.51558,1.24216,1.05999,0.00114877,0.00114877,0.00114877
23,54.3482,0.45605,0.86356,1.02574,0.78298,0.75,0.85058,0.71603,0.50214,1.21939,1.06626,0.00118657,0.00118657,0.00118657
24,56.6493,0.43868,0.85508,1.02176,0.87063,0.85,0.87917,0.70688,0.562,1.28289,1.18012,0.00122305,0.00122305,0.00122305
25,59.0636,0.47226,0.86681,1.05213,0.83891,0.9,0.89341,0.74828,0.55312,1.09899,1.14949,0.00125821,0.00125821,0.00125821
26,61.37,0.39165,0.75108,0.9885,0.82708,0.7948,0.84526,0.67436,0.68546,1.23332,1.25262,0.00125442,0.00125442,0.00125442
27,63.6132,0.43924,0.76105,1.00766,0.76371,0.8,0.77373,0.62753,0.70374,1.48722,1.30747,0.00123791,0.00123791,0.00123791
28,66.0981,0.4724,0.79951,1.03453,0.69772,0.82355,0.83361,0.71127,0.60672,1.58687,1.17592,0.00122141,0.00122141,0.00122141
29,68.3283,0.42469,0.74648,0.9986,0.63411,0.75669,0.84453,0.67904,0.59981,1.97633,1.21544,0.00120491,0.00120491,0.00120491
